Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type6,Soil_Type10,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type17,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type35,Soil_Type38,Soil_Type39,Soil_Type40,Cover_Type,eDist_to_Hydrology,human_presence,Total_Hillshade_mean,Horizontal_Distance_To_Roadways_Log,Hillshade_Noon_Elevation_ratio,Hillshade_9am_Elevation_ratio
2596,51,3,258,0,510,221,232,148,6279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,258.0,6789,200.33333333333334,6.236369590203704,0.08933384674624567,0.08509819021948402
2590,56,2,212,-6,390,220,235,151,6225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,212.08488866489287,6615,202.0,5.968707559985366,0.09069857197993053,0.08490930142802007
2804,139,9,268,65,3180,234,238,135,6121,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,275.7698315624826,9301,202.33333333333334,8.064950891749143,0.08484848484848485,0.08342245989304813
2785,155,18,242,118,3090,238,238,122,6211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,269.23595599399425,9301,199.33333333333334,8.036249942132116,0.08542713567839195,0.08542713567839195
2595,45,2,153,-1,391,220,234,150,6172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,153.00326793895613,6563,201.33333333333334,5.971261839790462,0.0901386748844376,0.0847457627118644
2579,132,6,300,-15,67,230,237,140,6031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,300.3747659175118,6098,202.33333333333334,4.219507705176107,0.09186046511627907,0.08914728682170543
2606,45,7,270,5,633,222,225,138,6256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,270.04629232781554,6889,195.0,6.452048954437226,0.08630609896432681,0.08515535097813579
2605,49,4,234,7,573,222,230,144,6228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,234.10467744152402,6801,198.66666666666666,6.352629396319567,0.08825786646201074,0.0851880276285495
2617,45,9,240,56,666,223,221,133,6244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,246.4467488119898,6910,192.33333333333334,6.502790045915623,0.08441558441558442,0.08517952635599695
2612,59,10,247,11,636,228,219,124,6230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,247.24481794367298,6866,190.33333333333334,6.456769655572163,0.08381171067738231,0.08725602755453502
2612,201,4,180,51,735,218,243,161,6222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,187.0855419320264,6957,207.33333333333334,6.601230118728877,0.09299655568312284,0.08342900880214313
2886,151,11,371,26,5253,234,240,136,4051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,371.9099353338117,9304,203.33333333333334,8.566744970245486,0.08313127814340146,0.08105299618981641
2742,134,22,150,69,3215,248,224,92,6091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,165.10905486980417,9306,188.0,8.075893630298857,0.08166241341596792,0.09041195771053591
2609,214,7,150,46,771,213,247,170,6211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,156.8948692596415,6982,210.0,6.648984550024776,0.0946360153256705,0.08160919540229886
2503,157,4,67,4,674,224,240,151,5600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67.11929677819934,6274,205.0,6.51471269087253,0.09584664536741214,0.08945686900958466
2495,51,7,42,2,752,224,225,137,5576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42.04759208325728,6328,195.33333333333334,6.6240652277998935,0.09014423076923077,0.08974358974358974
2610,259,1,120,-1,607,216,239,161,6096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,120.00416659433121,6703,205.33333333333334,6.410174881966167,0.09153581003446955,0.08272692454998085
2517,72,7,85,6,595,228,227,133,5607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85.21150157109074,6202,196.0,6.39024066706535,0.09015091342335187,0.09054805401111994
